date,sun_h,min_temp,max_temp,delta_temp
1864-01-01,,-5.7,0.7,6.4
1864-01-02,,-12.8,-5.7,7.1000000000000005
1864-01-03,,-13.6,-10.2,3.4000000000000004
1864-01-04,,-14.2,-10.9,3.299999999999999
1864-01-05,,-15.6,-8.1,7.5
1864-01-06,,-15.9,-7.8,8.100000000000001
1864-01-07,,-13.2,-6.8,6.3999999999999995
1864-01-08,,-11.8,-6.3,5.500000000000001
1864-01-09,,-13.7,-4.3,9.399999999999999
1864-01-10,,-15.3,-5.5,9.8
1864-01-11,,-15.1,-4.5,10.6
1864-01-12,,-12.1,-7.3,4.8
1864-01-13,,-15.6,-7.0,8.6
1864-01-14,,-16.7,-5.6,11.1
1864-01-15,,-16.8,-6.9,9.9
1864-01-16,,-16.3,-8.8,7.5
1864-01-17,,-11.6,-5.5,6.1
1864-01-18,,-11.6,-6.2,5.3999999999999995
1864-01-19,,-12.3,-4.3,8.0
1864-01-20,,-14.7,-4.3,10.399999999999999
1864-01-21,,-13.9,-1.8,12.1
1864-01-22,,-10.3,-3.7,6.6000000000000005
1864-01-23,,-8.7,5.0,13.7
1864-01-24,,-3.0,5.0,8.0
1864-01-25,,1.5,4.9,3.4000000000000004
1864-01-26,,-1.9,7.0,8.9
1864-01-27,,-2.3,8.0,10.3
1864-01-28,,1.3,7.7,6.4
1864-01-29,,-2.9,2.3,5.199999999999999
1864-01-30,,-8.3,-2.9,5.4
1864-01-31,,-11.0,-4.6,6.4
1864-02-01,,-10.3,0.9,11.200000000000001
1864-02-02,,-9.5,3.8,13.3
1864-02-03,,-8.7,6.4,15.1
1864-02-04,,-4.0,1.3,5.3
1864-02-05,,-5.9,-1.1,4.800000000000001
1864-02-06,,-4.7,-2.9,1.8000000000000003
1864-02-07,,-5.7,-1.3,4.4
1864-02-08,,-9.3,-1.3,8.0
1864-02-09,,-9.1,-1.9,7.199999999999999
1864-02-10,,-12.3,-2.5,9.8
1864-02-11,,-11.4,2.2,13.600000000000001
1864-02-12,,-15.8,-0.3,15.5
1864-02-13,,-3.0,9.9,12.9
1864-02-14,,0.1,9.4,9.3
1864-02-15,,-2.0,8.9,10.9
1864-02-16,,1.7,10.7,9.0
1864-02-17,,-1.9,6.8,8.7
1864-02-18,,-4.5,3.1,7.6
1864-02-19,,-8.8,-4.5,4.300000000000001
1864-02-20,,-11.9,-4.9,7.0
1864-02-21,,-7.9,2.2,10.100000000000001
1864-02-22,,-1.5,5.7,7.2
1864-02-23,,-0.7,6.2,6.9
1864-02-24,,-2.6,9.2,11.799999999999999
1864-02-25,,-1.5,11.9,13.4
1864-02-26,,0.7,12.4,11.700000000000001
1864-02-27,,-0.7,8.8,9.5
1864-02-28,,-0.1,11.2,11.299999999999999
1864-02-29,,0.8,10.7,9.899999999999999
1864-03-01,,0.2,8.2,7.999999999999999
1864-03-02,,-2.8,3.9,6.699999999999999
1864-03-03,,0.0,9.6,9.6
1864-03-04,,,15.2,
1864-03-05,,3.6,12.5,8.9
1864-03-06,,3.2,9.4,6.2
1864-03-07,,1.7,15.7,14.0
1864-03-08,,2.7,14.0,11.3
1864-03-09,,2.9,10.2,7.299999999999999
1864-03-10,,0.2,5.7,5.5
1864-03-11,,-3.8,8.6,12.399999999999999
1864-03-12,,-0.4,8.2,8.6
1864-03-13,,-2.3,10.3,12.600000000000001
1864-03-14,,-3.1,11.5,14.6
1864-03-15,,-3.2,15.7,18.9
1864-03-16,,0.0,14.2,14.2
1864-03-17,,-0.6,7.7,8.3
1864-03-18,,-3.8,9.4,13.2
